1 1 0.000000 0.000000
1 2 225.000000 290.000000
1 3 314.000000 324.000000
1 4 672.000000 386.000000
1 5 768.000000 391.000000
1 6 1485.000000 433.000000

2 1 0.000000 487.000000
2 2 68.000000 530.000000
2 3 144.000000 560.000000
2 4 266.000000 591.000000
2 5 450.000000 626.000000
2 6 693.000000 652.000000
2 7 861.000000 665.000000
2 8 1035.000000 676.000000

3 1 0.000000 441.000000
3 2 60.000000 481.000000
3 3 129.000000 516.000000
3 4 210.000000 541.000000
3 5 348.000000 575.000000
3 6 521.000000 605.000000
3 7 748.000000 629.000000
3 8 792.000000 632.000000
3 9 1027.000000 651.000000

4 1 0.000000 280.000000
4 2 42.000000 284.000000
4 3 86.000000 287.000000
4 4 542.000000 307.000000
4 5 945.000000 315.000000

5 1 0.000000 281.000000
5 2 35.000000 285.000000
5 3 71.000000 289.000000
5 4 464.000000 306.000000
5 5 1164.000000 315.000000

6 1 0.000000 287.000000
6 2 74.000000 315.000000
6 3 157.000000 333.000000
6 4 294.000000 352.000000
6 5 505.000000 366.000000
6 6 890.000000 376.000000
6 7 926.000000 376.000000
6 8 1114.000000 379.000000

7 1 0.000000 790.000000
7 2 114.000000 815.000000
7 3 235.000000 836.000000
7 4 386.000000 857.000000
7 5 577.000000 876.000000
7 6 1279.000000 908.000000
7 7 1507.000000 914.000000

8 1 0.000000 0.000000
8 2 58.000000 209.000000
8 3 97.000000 233.000000
8 4 268.000000 276.000000
8 5 651.000000 297.000000
8 6 1725.000000 311.000000
